V1,param,Value,Std. Error,t value,Pr(>|t|)
Acropora hyacinthus,Intercept,0.08,0.013,6.355,0
Acropora hyacinthus,Slope,0.02,0.015,1.346,0.182
Acropora cytherea,Intercept,0.12,0.039,3.097,0.003
Acropora cytherea,Slope,0.034,0.034,0.995,0.323
Acropora intermedia,Intercept,0.058,0.022,2.668,0.01
Acropora intermedia,Slope,0.008,0.012,0.653,0.517
Acropora robusta,Intercept,0.081,0.024,3.38,0.001
Acropora robusta,Slope,0.027,0.015,1.792,0.076
Acropora cf digitifera,Intercept,0.029,0.014,2.126,0.036
Acropora cf digitifera,Slope,0.008,0.011,0.7,0.486
Acropora humilis,Intercept,0.021,0.019,1.108,0.271
Acropora humilis,Slope,0.001,0.009,0.165,0.869
Acropora spathulata,Intercept,0.068,0.02,3.31,0.001
Acropora spathulata,Slope,0.023,0.012,1.825,0.071
Acropora nasuta,Intercept,0.012,0.014,0.888,0.377
Acropora nasuta,Slope,-0.008,0.009,-0.955,0.342
Acropora millepora,Intercept,0.022,0.02,1.093,0.279
Acropora millepora,Slope,-0.002,0.012,-0.136,0.892
Goniastrea retiformis,Intercept,0.016,0.01,1.665,0.099
Goniastrea retiformis,Slope,0.001,0.005,0.22,0.827
Goniastrea pectinata,Intercept,-0.031,0.018,-1.716,0.089
Goniastrea pectinata,Slope,-0.021,0.009,-2.325,0.022
